,DisasterId,DisasterSubgroup,DisasterType,Event Name,Origin
490,4412,Meteorological,Storm,Cynthia,
491,4417,Meteorological,Storm,Zelda,
492,4423,Meteorological,Storm,Bella,
493,4445,Geophysical,Volcanic activity,Poon Bato,
494,4446,Geophysical,Volcanic activity,Taal,
495,4449,Meteorological,Storm,Brendan,
496,4450,Meteorological,Storm,Ruth (Trining),
497,4451,Meteorological,Storm,Zeke (Etang),
498,4458,Meteorological,Storm,Gary,
499,4469,Hydrological,Flood,,"Volcanic activity, tropical rainstorms and ash from the eruptions"
500,4473,Meteorological,Storm,Eli (Konsing),
501,4475,Meteorological,Storm,Joni,
502,4476,Meteorological,Storm,,Brief torrential rains
503,4482,Meteorological,Storm,Omar,
504,4483,Meteorological,Storm,Gari (Ditang),
505,4490,Hydrological,Flood,,monsoonal rain
506,4501,Geophysical,Volcanic activity,Unzen ,
507,4510,Meteorological,Storm,Zeke & Fred,
508,4515,Meteorological,Storm,Lester,
509,4542,Meteorological,Storm,Omar (Lusing),
510,4544,Meteorological,Storm,Gloring,
511,4556,Geophysical,Earthquake,Tsunami,
512,4565,Hydrological,Flood,,Heavy rain and Snowmelt
513,4574,Meteorological,Storm,Kina,
514,4587,Meteorological,Storm,Lewis,
515,4592,Geophysical,Volcanic activity,Damar,
516,4593,Geophysical,Volcanic activity,Karangetang,
517,4619,Meteorological,Storm,Robyn,
518,4622,Hydrological,Flood,,Snowmelt and Heavy rains
519,4625,Meteorological,Storm,Lewis & Winona,
520,4637,Meteorological,Storm,Calvin,
521,4638,Meteorological,Storm,"Arlene, Beatriz",
522,4639,Meteorological,Storm,Irwin,
523,4640,Meteorological,Storm,Lidia,
524,4643,Meteorological,Storm,Cindy,
525,4646,Meteorological,Storm,Bret,
526,4661,Meteorological,Storm,Koryn (Goring),
527,4662,Meteorological,Storm,Flo (Kadiang),
528,4663,Meteorological,Storm,Lola (Monang) and Manny (Naning),
529,4664,Meteorological,Storm,Kyle,
530,4665,Meteorological,Storm,Nell (Puring),
531,4668,Meteorological,Storm,Adel,
532,4671,Meteorological,Storm,Colina,
533,4681,Meteorological,Storm,Tim (Iliang),
534,4694,Meteorological,Storm,"Daisy, Geralda",
535,4695,Meteorological,Storm,Nadya,
536,4696,Meteorological,Storm,Litanne,
537,4698,Meteorological,Storm,"Hollanda, Ivy",
538,4704,Meteorological,Storm,Owen (Bising),
539,4705,Meteorological,Storm,Yunya (Norming),
540,4706,Meteorological,Storm,Sharon (Gading),
541,4707,Meteorological,Storm,Caitlin (Pasing),
542,4708,Meteorological,Storm,Akang,
543,4726,Meteorological,Storm,Gay,
544,4733,Meteorological,Storm,Allison,
545,4734,Meteorological,Storm,Chantal,
546,4735,Meteorological,Storm, Jerry,
547,4752,Meteorological,Storm,"Brian, Angela, Dan",
548,4774,Hydrological,Flood,,"Rain, snowmelt"
549,4777,Hydrological,Landslide,,Earthquake
550,4886,Meteorological,Storm,Grace,
551,4901,Meteorological,Storm,Val & Wasa,
552,4907,Meteorological,Storm,Iniki,
553,4919,Meteorological,Storm,Forrest,
554,4952,Meteorological,Storm,Axel,
555,4964,Meteorological,Storm,Chuck,
556,4984,Meteorological,Storm,Winona,
557,5010,Hydrological,Flood,,Snowmelt
558,5014,Meteorological,Storm,Wylie,
559,5029,Meteorological,Storm,Prema,
560,5038,Meteorological,Storm,Fred (9416),
561,5053,Meteorological,Storm,Hurricane,
562,5082,Meteorological,Storm,Russ,
563,5083,Meteorological,Storm,Tim,
564,5100,Meteorological,Storm,Luis,
565,5107,Meteorological,Storm,Bobby,
566,5114,Meteorological,Storm,"Thalia, Urania, Valeska, Wilma",
567,5125,Meteorological,Storm,Erin,
568,5134,Meteorological,Storm,Marylin,
569,5150,Hydrological,Flood,,Typhoon Gali
570,5154,Meteorological,Storm,Kent,
571,5162,Meteorological,Storm,Willie,
572,5163,Meteorological,Storm,Kirk,
573,5203,Hydrological,Flood,,Mosoonal rain
574,5209,Meteorological,Storm,Herb,
575,5223,Meteorological,Storm,Victor,
576,5226,Meteorological,Storm,Winnie,
577,5227,Meteorological,Storm,Zita,
578,5229,Hydrological,Flood,,Heavy rain and brief torrential rain
579,5251,Meteorological,Storm,One Bravo (01B),
580,5252,Meteorological,Storm,2 B,
581,5304,Meteorological,Storm,Georges,
582,5319,Meteorological,Storm,01B,
583,5320,Meteorological,Storm,07B,
584,5325,Meteorological,Storm,Mitch,
585,5346,Meteorological,Storm,Babs (Loleng),
586,5354,Meteorological,Storm,Axel (Garding),
587,5364,Meteorological,Storm,Teresa (Katring),
588,5392,Geophysical,Volcanic activity,Mt. Barujari,
589,5424,Geophysical,Volcanic activity,Colima,
590,5425,Geophysical,Volcanic activity,Popocatepelt,
591,5439,Hydrological,Landslide,,Monsoonal rain
592,5440,Meteorological,Storm,Luke (Weling),
593,5442,Meteorological,Storm,Vanessa,
594,5446,Meteorological,Storm,Sybil (Mameng),
595,5456,Meteorological,Storm,"Thaila, Urania, Valeska, Wilma",
596,5457,Meteorological,Storm,"Thaila, Urania, Valeska, Wilma","Heavy rains, melting snow"
597,5459,Meteorological,Storm,Janis,
598,5461,Meteorological,Storm,"Thala, Urania, Valeska, Wilma",
599,5462,Meteorological,Storm,Zack (Pepang),
600,5463,Meteorological,Storm,Karing,
601,5470,Geophysical,Volcanic activity,Fogo,
602,5474,Meteorological,Storm,Opal,
603,5478,Meteorological,Storm,Marilyn,
604,5508,Hydrological,Flood,,Continous rainfall
605,5511,Hydrological,Landslide,,Snow storm and heavy winds
606,5540,Meteorological,Storm,Felix,
607,5541,Meteorological,Storm,Henriette,
608,5542,Meteorological,Storm,Ismael,
